id,parent_id,name,is_active
1113,249,Estragon tørket,True
1114,130,Øvrig taco,True
1117,11,Mais,True
1120,415,Bakemix,True
1121,255,Kondomer,False
1130,17,Babysåpe,False
1131,156,Pavlova,True
1136,159,Bjørnebær,True
1139,209,Skalldyr i lake,True
1140,17,Tørre engangskluter,False
1141,276,Kålstuing,True
1144,5,Ajvar,True
1146,380,Mangosaus,True
1149,305,Lammeskav,True
1150,415,Pavlovamix,True
1156,26,Drinkmix,True
1157,1156,Brennevinessens,True
1158,19,Pultost,True
1161,139,Fiken tørket,True
1162,932,Mascara,False
1163,533,Alkoholfri cider,True
1167,841,Hyssing,False
1168,2,Pitahaya,True
1170,249,Tandoori Masala,True
1171,17,Babypudder,False
1176,106,Abbor,True
1182,392,Oksehaler,True
1185,308,Karse,True
1186,226,Soyafløte,True
1189,74,Kakebunn,True
1190,249,Persille tørket,True
1191,403,Mochi-is,True
1193,77,Marinerte poteter,True
1197,745,Klesrulle,False
1198,575,Hårskum,False
1199,47,Kyllinglever,True
1204,113,Viltpate,True
1206,305,Øvrig lammekjøtt,True
1207,1156,Drinkmix,True
1211,57,Balsamicodressing,True
1212,95,Poseklemme,False
1214,57,Chipotlemajones,True
1215,93,Iskjeks,True
1216,607,Ammeinnlegg,False
1220,255,Sårbehandling,False
1221,341,Kokosolje,True
1224,70,Matkasse,True
1231,74,Konditorfarge,True
1237,171,Tennvæske,False
1241,289,Hjort,True
1242,61,Yoghurtnøtter,True
1250,575,Tørrshampo,False
1269,122,Maismel,True
1276,305,Lammecarre,True
1284,932,Pudder,False
1291,607,Smekke,False
1310,156,Fyrstekake,True
1330,19,Øvrig ost,True
1336,841,Øvrig kontorrekvisita,False
1337,47,Kylling revet,True
1344,205,Vårrullplater,True
1351,209,"Skalldyr, fryst",True
1399,91,Calzone,True
1401,134,Øvrige supper,True
1421,538,Grillolje,True
1425,392,Flatbiff,True
1441,415,Bollemix,True
1463,43,Kjøttpudding,True
1476,156,Kringle,True
1488,205,Paibunnmix,True
1491,310,Bananpålegg,True
1493,164,Soyadessert,True
1505,392,Øvrig storfekjøtt,True
1521,538,Marinade,True
1526,156,Gulrotkake,True
1530,290,Matdelere,False
1538,513,Nori,True
1540,5,Ølsaus,True
1543,156,Karamellkake,True
1568,16,Badebleier,False
1573,57,Italiensk dressing,True
1580,134,Hummersuppe,True
1587,249,Biffkrydder,True
1589,46,Høns,True
1594,5,Tranebærsaus,True
1598,932,Øyenskygge,False
1603,57,Fransk dressing,True
1618,290,Kjøkkenredskaper,False
1643,290,Åpnere,False
1653,132,Moussaka kit,True
1659,107,Kokmalt kaffe,True
1665,392,Oksestek,True
1679,279,Hermetisk moreller/kirsebær,True
1683,74,Tørrmelk,True
1684,341,Trøffelolje,True
1686,52,Flekkfjerner,False
1688,437,Spisepinner,False
1709,415,Gulrotkakemix,True
1721,115,Sushiris,True
1733,437,Lysmansjetter,False
1744,222,Bøker,False
1755,74,Fondant,True
1790,513,Rullematte,True
1791,276,Stuing,True
1795,70,Ratatuille,True
1797,57,Blåmuggostdressing,True
1798,17,Babyhudpleie,False
1803,173,Spareribs,True
1807,249,Lammekrydder,True
1811,173,Svin sideflesk,True
1815,249,Potetkrydder,True
1821,74,Surdeigspulver,True
1832,57,Vinaigrette,True
1848,96,Fiskepostei,True
1867,119,Tannpleie,False
1874,171,Grillpinner,False
1875,249,Allroundkrydder,True
1876,205,Pizzabunnmix,True
1900,437,Duk,False
1901,611,Riseddik,True
1907,841,Blyant,False
1909,932,Rouge,False
1912,156,Mazarin,True
1923,47,Kyllingspyd,True
1932,745,Bøff,False
1937,305,Ytrefilet av lam,True
2011,113,Landpate,True
2017,173,Svinelever,True
2051,43,Kebabkjøtt,True
2056,5,Grillsaus,True
2065,607,Fruktnett,False
2068,2,Papaya,True
2072,249,Lakrispulver,True
2073,318,Tørket sopp,True
2107,249,Sursildkrydder,True
2108,392,Storfebog,True
2112,283,Andefett,True
2115,380,Solbærsaus,True
2121,95,Gjenbrukspose,False
2134,156,Vaniljedrøm,True
2136,415,Focacciamix,True
2138,173,Svinenakke,True
2146,19,Gamalost,True
2159,134,Brokkolisuppe,True
2167,211,Panna cotta,True
2175,249,Salvie tørket,True
2193,5,Myntesaus,True
2215,841,Gråpapir,False
2217,113,Hvitløkspate,True
2219,113,Pepperpate,True
2222,932,Eyeliner/Kajal,False
2225,249,Merian tørket,True
2228,316,Malteekstrakt,False
